,V,I,SOC
190,3.708457,0.625,0.4959965788505338
191,3.709852,0.62407,0.49603234192562057
192,3.711092,0.625,0.49606666469216554
193,3.712178,0.62407,0.49610138664312053
194,3.713263,0.62407,0.49613605692781243
195,3.695746,0.0,0.49617073046286875
196,3.695127,0.0,0.49617073046286875
197,3.694972,0.0,0.49617073046286875
198,3.694972,0.0,0.49617073046286875
199,3.694972,0.0,0.49617073046286875
200,3.695127,0.0,0.49617073046286875
201,3.695282,0.0,0.49617073046286875
202,3.695436,0.0,0.49617073046286875
203,3.695436,0.0,0.49617073046286875
204,3.695591,0.0,0.49617073046286875
205,3.695746,0.0,0.49617073046286875
206,3.695902,0.0,0.49617073046286875
207,3.696057,0.0,0.49617073046286875
208,3.696212,0.0,0.49617073046286875
209,3.696367,0.0,0.49617073046286875
210,3.696522,0.0,0.49617073046286875
211,3.696676,0.0,0.49617073046286875
212,3.679005,-0.62314,0.49617073046286875
213,3.6773,-0.625,0.49617073046286875
214,3.67637,-0.62407,0.4961360085119139
215,3.67575,-0.62314,0.496101338227222
216,3.67513,-0.625,0.49606671933833313
217,3.67451,-0.62407,0.49603199738737835
218,3.6742,-0.62407,0.49599732710268646
219,3.673735,-0.62407,0.49596300108577684
220,3.67327,-0.625,0.4959283308010848
221,3.67296,-0.625,0.49589360885013
222,3.67265,-0.62407,0.4958588866279078
223,3.67234,-0.625,0.4958242163432159
224,3.67203,-0.62407,0.49578949439226105
225,3.67172,-0.62407,0.4957551716257159
226,3.671565,-0.62407,0.49571945905744774
227,3.671255,-0.62407,0.4956847885018922
228,3.6711,-0.62407,0.4956501182172003
229,3.67079,-0.62314,0.4956154479325086
230,3.670635,-0.62407,0.4955808290436197
231,3.670325,-0.62407,0.4955461587589278
232,3.67017,-0.62407,0.49551183599238263
233,3.670015,-0.62407,0.49547716570769074
234,3.66986,-0.62314,0.4954424921726345
235,3.669705,-0.62314,0.49540787355420546
236,3.66955,-0.62407,0.49537325520623676
237,3.66924,-0.62407,0.4953385849215449
238,3.669085,-0.62407,0.49530426188413623
239,3.66893,-0.62407,0.4952695913285806
240,3.668775,-0.62407,0.49523492104388855
241,3.66862,-0.62407,0.4952002507591969
242,3.668465,-0.62407,0.49516558074536865
243,3.66831,-0.62407,0.4951309101898131
244,3.668155,-0.625,0.4950951973506813
245,3.668,-0.62407,0.49506082343575064
246,3.667845,-0.625,0.49502615315105897
