,V,I,SOC
199,3.574684,-3.38077,0.49692929220902693
200,3.572359,-3.3817,0.49692929220902693
201,3.567708,-3.55469,0.4967414214545568
202,3.565383,-3.55655,0.4967414214545568
203,3.625527,-1.19141,0.49654185639505205
204,3.629402,-1.19141,0.49654185639505205
205,3.631262,-1.19141,0.4964756674677123
206,3.632348,-1.19048,0.496409478540373
207,3.633277,-1.19048,0.4963433407625952
208,3.633898,-1.19048,0.49627720350151894
209,3.634363,-1.19141,0.4962110600400259
210,3.634673,-1.18955,0.49614553455844607
211,3.634983,-1.19048,0.4960794489636327
212,3.635138,-1.19048,0.4960133117025564
213,3.635293,-1.19048,0.4959471739247786
214,3.635293,-1.19048,0.49588103666370237
215,3.635293,-1.19234,0.4958148994026256
216,3.696057,1.1635,0.49574666691811203
217,3.702877,1.16443,0.49574666691811203
218,3.703187,1.1542,0.49581199932527376
219,3.707372,1.1542,0.49581199932527376
220,3.704582,1.02958,0.49587612104654105
221,3.707527,1.02958,0.49587612104654105
222,3.710162,1.11979,0.4959338932649177
223,3.713108,1.12072,0.4959338932649177
224,3.712798,1.09933,0.49599615500071625
225,3.715123,1.09933,0.49599615500071625
226,3.75651,2.69531,0.4960578405827737
227,3.763331,2.69531,0.4960578405827737
228,3.676525,-0.69754,0.4962090785915014
229,3.6711,-0.6994,0.4962090785915014
230,3.714813,1.01004,0.49617022303594593
231,3.717913,1.01004,0.49617022303594593
232,3.67544,-0.64267,0.49622689881776916
233,3.672185,-0.64267,0.49622689881776916
234,3.67048,-0.64267,0.4961911954867536
235,3.66924,-0.64267,0.4961554918768013
236,3.66831,-0.64267,0.4961197882668492
237,3.66769,-0.64267,0.49608408437796025
238,3.66707,-0.6436,0.496048380768008
239,3.666605,-0.64267,0.49601262549179265
240,3.66614,-0.64267,0.49597727668923614
241,3.66583,-0.64267,0.49594157280034734
242,3.665365,-0.64267,0.4959058691903951
243,3.66521,-0.6436,0.49587016558044283
244,3.6649,-0.64267,0.4958344100248874
245,3.66459,-0.64267,0.49579870641493506
246,3.726284,1.75037,0.49576193252512607
247,3.733414,1.7513,0.49576193252512607
248,3.730469,1.61551,0.49585922620945755
249,3.734499,1.61551,0.49585922620945755
250,3.732639,1.53274,0.49594987567292154
251,3.735584,1.53367,0.49594987567292154
